,DATE,TIME,VOLTAGE,CURRENT,PF,POWER (KW),"""WEEKEND/WEEKDAY""",SEASON,Temp (F),Humidity (%),Wind Gust
0,01-01-2021,01-00,11.6,102,0.96,1967.388015,0,1,65,90,13.679999
1,01-01-2021,02-00,11.6,102,0.96,1967.388015,0,1,65,90,12.599999
2,01-01-2021,03-00,11.6,102,0.96,1967.388015,0,1,65,90,10.799999
3,01-01-2021,04-00,11.3,130,0.96,2442.607331,0,1,78,49,7.92
4,01-01-2021,05-00,11.2,148,0.96,2756.205522,0,1,78,49,6.4799995
5,01-01-2021,06-00,11.2,172,0.96,3203.157769,0,1,78,49,6.4799995
6,01-01-2021,07-00,11.5,218,0.96,4168.56132,0,1,83,34,6.4799995
7,01-01-2021,08-00,11.2,274,0.96,5102.704818,0,1,83,34,7.5599995
8,01-01-2021,09-00,11.2,280,0.96,5214.442879,0,1,83,34,6.8399997
9,01-01-2021,10-00,11.5,254,0.96,4856.947593,0,1,81,42,9.36
10,01-01-2021,11-00,11.5,254,0.96,4856.947593,0,1,81,42,11.5199995
11,01-01-2021,12-00,11.5,243,0.96,4646.607342,0,1,81,42,13.32
12,01-01-2021,13-00,11.6,231,0.96,4455.55521,0,1,71,42,14.759999
13,01-01-2021,14-00,11.8,214,0.96,4198.823711,0,1,71,87,16.919998
14,01-01-2021,15-00,11.8,205,0.96,4022.237667,0,1,71,87,17.64
15,01-01-2021,16-00,11.7,215,0.96,4182.694854,0,1,67,87,16.919998
16,01-01-2021,17-00,11.5,194,0.96,3709.637138,0,1,67,87,14.4
17,01-01-2021,18-00,11.7,44,0.96,855.9933655,0,1,67,87,11.879999
18,01-01-2021,19-00,11.8,42,0.96,824.068205,0,1,66,88,11.159999
19,01-01-2021,20-00,11.8,39,0.96,765.2061904,0,1,66,88,11.159999
20,01-01-2021,21-00,11.8,30,0.96,588.6201464,0,1,66,88,10.799999
21,01-01-2021,22-00,11.8,25,0.96,490.5167887,0,1,62,89,13.679999
22,01-01-2021,23-00,11.8,22,0.96,431.6547741,0,1,62,89,14.04
23,01-01-2021,24-00,11.8,21,0.96,412.0341025,0,1,62,89,13.32
24,02-01-2021,01-00,11.7,95,0.95,1828.915749,0,1,65,90,13.32
25,02-01-2021,02-00,11.7,95,0.95,1828.915749,0,1,65,90,14.04
26,02-01-2021,03-00,11.7,95,0.95,1828.915749,0,1,65,90,14.759999
27,02-01-2021,04-00,11.5,100,0.95,1892.265507,0,1,78,48,15.4800005
28,02-01-2021,05-00,11.4,135,0.95,2532.344883,0,1,78,48,16.919998
29,02-01-2021,06-00,11.3,162,0.95,3012.157598,0,1,78,48,18
30,02-01-2021,07-00,11.5,213,0.95,4030.52553,0,1,83,32,17.64
31,02-01-2021,08-00,11.3,257,0.95,4778.546313,0,1,83,32,19.08
32,02-01-2021,09-00,11.3,258,0.95,4797.139878,0,1,83,32,20.16
33,02-01-2021,10-00,11.3,262,0.95,4871.51414,0,1,80,38,23.039999
34,02-01-2021,11-00,11.5,260,0.95,4919.890319,0,1,80,38,27.359999
35,02-01-2021,12-00,11.6,256,0.95,4886.323174,0,1,80,38,28.8
36,02-01-2021,13-00,11.9,221,0.95,4327.364398,0,1,71,73,29.88
37,02-01-2021,14-00,11.6,225,0.95,4294.619977,0,1,71,73,30.960001
38,02-01-2021,15-00,11.7,222,0.95,4273.887329,0,1,71,73,31.319998
39,02-01-2021,16-00,11.7,208,0.95,4004.362903,0,1,67,88,30.599998
40,02-01-2021,17-00,11.9,190,0.95,3720.358532,0,1,67,88,28.44
41,02-01-2021,18-00,11.7,46,0.95,885.5802574,0,1,67,88,25.199999
